# Dimensionless power spectra for scale-free cosmologies.
# P(k) ~ k^{-2.0}.
# Measured from Fig. 1 of
# https://arxiv.org/pdf/2109.04397
# using https://plotdigitizer.com/app
#kR          Delta2
0.0036847242638454168 0.0001090924467647264
0.006572364442336876 0.00025701920422854183
0.010538361806241474 0.0005459899539949182
0.015920596251865603 0.001021305541989862
0.03224229386064711 0.0029412408590602985
0.05815594737320262 0.006916483073824548
0.12741666700232435 0.022360716316952203
0.23610988807009808 0.059208539789499116
0.44122020606854134 0.15385844784734246
0.8115199721857002 0.41440810958259144
1.4884860038209984 1.1693671908226853
2.838270950900333 4.097517305896722
4.229107183261351 8.980504948749852
6.808077785824683 23.461765073348776
9.686572468726608 45.554306495661514
14.207773533073597 86.41523532382547
20.513651554245754 145.39258126001403
29.05172903645457 236.41643108141048
43.815477822627756 377.924291002109
