# schema: astropy-2.0
# kmin kmax kavg power N_modes
0.006283185307179587 0.00942477796076938 0.008018239019937683 1451.4468 18
0.00942477796076938 0.012566370614359173 0.010882796185405308 969.84375 8
0.012566370614359173 0.015707963267948967 0.014480808923383829 2574.247 54
0.015707963267948967 0.01884955592153876 0.017771531752633466 1756.5648 12
0.01884955592153876 0.021991148575128554 0.01996054522120218 2251.7039 86
0.021991148575128554 0.025132741228718346 0.02322446674414465 2262.622 72
0.025132741228718346 0.02827433388230814 0.026707588494950252 1860.4868 138
0.02827433388230814 0.031415926535897934 0.029459572965435128 2312.6614 96
0.031415926535897934 0.034557519189487726 0.033000203912249594 1968.0972 254
0.034557519189487726 0.03769911184307752 0.03655036748770887 1588.2565 156
0.03769911184307752 0.04084070449666731 0.0394812479578312 1612.9684 294
0.04084070449666731 0.04398229715025711 0.04253897831388842 1332.6342 224
0.04398229715025711 0.0471238898038469 0.045555500187505656 1347.0505 378
0.0471238898038469 0.05026548245743669 0.04866358907275323 1340.6226 312
0.05026548245743669 0.053407075111026485 0.05164295034290287 1278.0027 450
0.053407075111026485 0.05654866776461628 0.05463918684371823 1165.2091 416
0.05654866776461628 0.059690260418206076 0.058210012248448906 1138.2207 726
0.059690260418206076 0.06283185307179587 0.061487098348268245 1024.1096 444
0.06283185307179587 0.06597344572538566 0.06448232853923791 1148.4648 806
0.06597344572538566 0.06911503837897545 0.06763111626719209 1084.8695 552
0.06911503837897545 0.07225663103256524 0.07063846191597895 912.1478 906
0.07225663103256524 0.07539822368615504 0.07363722856533987 911.4677 720
0.07539822368615504 0.07853981633974483 0.07686073495265092 833.2236 1094
0.07853981633974483 0.08168140899333462 0.08004933333431455 891.72833 876
0.08168140899333462 0.08482300164692443 0.08325000310130054 758.32086 1302
0.08482300164692443 0.08796459430051422 0.0865471542688657 731.743 1112
0.08796459430051422 0.09110618695410401 0.0897103960128045 683.57324 1386
0.09110618695410401 0.0942477796076938 0.09267867832320004 590.3589 1104
0.0942477796076938 0.0973893722612836 0.09556914294288528 543.41693 1518
0.0973893722612836 0.10053096491487339 0.09880663158898487 541.4169 1556
0.10053096491487339 0.10367255756846318 0.10209099167960003 505.35965 1782
0.10367255756846318 0.10681415022205297 0.10513146935348604 505.2464 1556
0.10681415022205297 0.10995574287564276 0.10836604162098676 483.1513 2166
0.10995574287564276 0.11309733552923255 0.11155648903713968 456.35593 1728
0.11309733552923255 0.11623892818282235 0.11475106313006729 448.39624 2442
0.11623892818282235 0.11938052083641215 0.1179074866423727 430.36496 1904
0.11938052083641215 0.12252211349000194 0.12092893320556301 413.39948 2454
0.12252211349000194 0.12566370614359174 0.1240598786673465 437.95758 2268
0.12566370614359174 0.12880529879718153 0.12719106010188766 425.98306 2766
0.12880529879718153 0.13194689145077132 0.1304070773223639 388.17004 2632
0.13194689145077132 0.1350884841043611 0.13363646164562903 385.23178 3082
0.1350884841043611 0.1382300767579509 0.13669260392295193 370.38452 2544
0.1382300767579509 0.1413716694115407 0.13976125093445185 369.67053 3438
0.1413716694115407 0.1445132620651305 0.14292099262572588 370.82822 2948
0.1445132620651305 0.14765485471872028 0.14604426979805182 349.28027 3654
0.14765485471872028 0.15079644737231007 0.14917762427780187 316.86682 3312
0.15079644737231007 0.15393804002589986 0.15230709125095723 315.34277 3818
0.15393804002589986 0.15707963267948966 0.155376713211643 273.78775 3552
0.15707963267948966 0.16022122533307945 0.15859619655669907 273.33295 4482
0.16022122533307945 0.16336281798666924 0.1617774379489228 264.21222 3848
0.16336281798666924 0.16650441064025903 0.16496848185804272 262.2063 4758
0.16650441064025903 0.16964600329384885 0.16820900497742303 245.60426 4292
0.16964600329384885 0.17278759594743864 0.17127878529836038 245.78163 4774
0.17278759594743864 0.17592918860102844 0.17441370202909878 240.35912 4688
0.17592918860102844 0.17907078125461823 0.1776012677935207 237.78377 5274
0.17907078125461823 0.18221237390820802 0.18065448262045472 228.49489 4672
0.18221237390820802 0.1853539665617978 0.18378689470463708 224.5609 5878
0.1853539665617978 0.1884955592153876 0.18696910248169238 217.59145 5148
0.1884955592153876 0.1916371518689774 0.19007475839756546 210.41919 6078
0.1916371518689774 0.1947787445225672 0.19313397383312153 216.89883 5392
0.1947787445225672 0.19792033717615698 0.19632430771729442 207.52353 6754
0.19792033717615698 0.20106192982974677 0.19952164101606706 199.39302 5904
0.20106192982974677 0.20420352248333656 0.20257016086853377 195.68036 6702
0.20420352248333656 0.20734511513692636 0.20571074369515682 187.21895 6492
0.20734511513692636 0.21048670779051615 0.2088912831638919 183.47986 7310
0.21048670779051615 0.21362830044410594 0.21204357376135965 171.93256 6884
0.21362830044410594 0.21676989309769573 0.21522160634126897 172.52316 7870
0.21676989309769573 0.21991148575128552 0.2183659370491708 173.607 7024
0.21991148575128552 0.22305307840487532 0.22146610767456462 161.19041 8170
0.22305307840487532 0.2261946710584651 0.22458770098059166 154.93369 7656
0.2261946710584651 0.2293362637120549 0.22777673087209915 150.52528 8798
0.2293362637120549 0.2324778563656447 0.23091443336338643 151.50627 7908
0.2324778563656447 0.2356194490192345 0.23403858361169735 148.89037 9246
0.2356194490192345 0.2387610416728243 0.23717694474833587 140.05983 8408
0.2387610416728243 0.2419026343264141 0.24034913873591082 137.93219 9858
0.2419026343264141 0.2450442269800039 0.24351877041966016 137.64638 8952
0.2450442269800039 0.24818581963359368 0.24658625060101416 135.35747 9798
0.24818581963359368 0.25132741228718347 0.24970790122613065 133.25978 9596
0.25132741228718347 0.25446900494077324 0.2528760744517146 127.523544 10638
0.25446900494077324 0.25761059759436306 0.25596024667034767 124.83937 9760
0.25761059759436306 0.2607521902479528 0.2591651149521402 124.311226 11690
0.2607521902479528 0.26389378290154264 0.26235917280904336 124.1601 10216
0.26389378290154264 0.2670353755551324 0.2654649635280203 122.37865 11746
0.2670353755551324 0.2701769682087222 0.26856130163027464 117.10475 10728
0.2701769682087222 0.27331856086231204 0.2717456702199924 115.5164 12734
0.27331856086231204 0.2764601535159018 0.2749265443330816 111.154106 11316
0.2764601535159018 0.2796017461694916 0.2780149990485746 106.862076 12726
0.2796017461694916 0.2827433388230814 0.28116783541629725 106.91391 12120
0.2827433388230814 0.2858849314766712 0.2843615216542496 103.83265 13826
0.2858849314766712 0.289026524130261 0.28751209827232993 102.565575 12264
0.289026524130261 0.2921681167838508 0.29059699503421443 101.72746 13854
0.2921681167838508 0.29530970943744056 0.2936988876081245 99.134285 12908
0.29530970943744056 0.2984513020910304 0.29681396906810886 95.57908 14598
0.2984513020910304 0.30159289474462014 0.2999533438608488 94.42373 13896
0.30159289474462014 0.30473448739820996 0.30312241836796316 92.93509 15170
0.30473448739820996 0.3078760800517997 0.3062512954599882 91.838455 14256
0.3078760800517997 0.31101767270538955 0.30942290844210046 89.49646 16194
0.31101767270538955 0.3141592653589793 0.31257645429648373 88.102 14784
0.3141592653589793 0.31730085801256913 0.31575730945934094 85.92905 16958
0.31730085801256913 0.3204424506661589 0.3188814883764843 85.14921 14868
0.3204424506661589 0.3235840433197487 0.3219699119909303 84.75499 17382
0.3235840433197487 0.3267256359733385 0.3251627492452643 82.11722 16376
0.3267256359733385 0.3298672286269283 0.32832413034613384 81.5488 17874
0.3298672286269283 0.33300882128051806 0.33143263850910065 79.55498 16512
0.33300882128051806 0.3361504139341079 0.33459757398684215 78.041374 18942
0.3361504139341079 0.3392920065876977 0.3378005022312722 75.31648 17668
0.3392920065876977 0.34243359924128747 0.3409144882530543 75.507515 18766
0.34243359924128747 0.3455751918948773 0.34400232742849546 74.42706 17952
0.3455751918948773 0.34871678454846705 0.347128012874528 72.40008 19730
0.34871678454846705 0.35185837720205687 0.35027748727654756 72.001205 19128
0.35185837720205687 0.35499996985564664 0.35340111191946305 70.35673 20166
0.35499996985564664 0.35814156250923646 0.35657116492810037 69.20254 20212
0.35814156250923646 0.3612831551628262 0.3597576872057455 69.633286 21214
0.3612831551628262 0.36442474781641604 0.36284783415541544 69.10619 19636
0.36442474781641604 0.3675663404700058 0.3659680101538145 65.73083 22430
0.3675663404700058 0.3707079331235956 0.3691316858521331 65.42285 20792
0.3707079331235956 0.3738495257771854 0.3722588817452682 65.30603 22698
0.3738495257771854 0.3769911184307752 0.3753628985451836 63.106377 21480
0.3769911184307752 0.38013271108436497 0.37855333871168456 62.51292 24222
