# Dimensionless power spectra for scale-free cosmologies.
# P(k) ~ k^{-2.25}.
# Measured from Fig. 1 of
# https://arxiv.org/pdf/2109.04397
# using https://plotdigitizer.com/app
#kR          Delta2
0.001250255118934053 0.002807453213797113
0.0017697165608119504 0.0038840172494069166
0.0024702615730641743 0.004942822239772666
0.0037597371068445093 0.006910079980879209
0.005467075707987918 0.00948901012725039
0.010099398231054067 0.014884862920111005
0.01718628093761507 0.022087171828317858
0.026501962009993465 0.0302989856508803
0.0370208701157948 0.039786919039568165
0.053829058521351496 0.05576382879168497
0.07171786888415434 0.07352301960009579
0.09404187003370296 0.09111387061264843
0.1214047453177937 0.11769009447053574
0.17018209150654362 0.1617048789602543
0.22322610102148538 0.21388697527889797
0.30826070404641326 0.3056765284454277
0.4398545030943092 0.4586086042744587
0.5728831722624858 0.6582036307438741
0.8268465095619523 1.0732291797064273
1.1556877706671418 1.8111387486094892
1.5498089980924727 2.824756349787046
2.1093007103325756 4.831571116144346
2.7503601873168053 7.42151364835773
3.731920854918084 11.810642193999714
4.700482026880748 17.04850281541229
6.054749050592173 23.422247283609604
7.908893822150812 31.739498269942587
10.185612611694282 42.856579266600164
14.123567805855883 61.49697965169399
18.695106463713255 80.8761266584715
