# Dimensionless power spectra for scale-free cosmologies.
# P(k) ~ k^{-2.0}.
# Measured from Fig. 1 of
# https://arxiv.org/pdf/2109.04397
# using https://plotdigitizer.com/app
#kR          Delta2
0.002319551474078074 0.0011779629295908102
0.003879388929902128 0.0019967681897980804
0.006171184942570298 0.0031818343412260046
0.010122264946527982 0.0053211758321058365
0.01975526281242228 0.009553164718957254
0.038769084753086915 0.021043703860136192
0.09347644399341282 0.05021313788945368
0.137638731577496 0.07622219555780795
0.2122306418949843 0.12392275817020765
0.30075259474305993 0.19251121348216993
0.4376835426032542 0.2946549204986075
0.6798067796389387 0.5371049912946849
0.948042537764858 0.877277475069774
1.3237210190241895 1.5082148713384935
2.0132562954417663 3.045459035094703
2.815779806720708 5.676350365830506
3.776945212330589 9.586935811871461
5.215366523539335 16.50593839424409
7.7437084235743745 30.578369055355
10.463526411764056 46.71746663555648
13.335158208782 64.99877291221395
